from 20200130-500KHABSM-4p78125mgml (Second Difference),,,,,,,,,,,,,,,from 20200130-500KHABSM-6p750mgml (Second Difference),,,,,,,,,,,,,,,from 20200130-500KHABSM-5p625mgml (Second Difference),,,,,,,,,,,,,,,from 20200130-500KHABSM-4p064mgml (Second Difference),,,,,,,,,,,,,,,from 20200130-500KHABSM-3p450mgml (Second Difference),,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1.69,63.4535,4.34,4949.82,Compound,None,,,,6,1.7148 .. 1.6698,13.17,4798.5048,,6,1.69,79.5708,4.68,6692.65,Compound,None,,,,6,1.7148 .. 1.6698,12.21,6449.415,,6,1.69,72.6432,4.54,5927.25,Compound,None,,,,6,1.7148 .. 1.6698,12.88,5831.0891,,6,1.69,56.4139,4.33,4390.55,Compound,None,,,,6,1.7148 .. 1.6698,13.29,4246.8827,,6,1.69,49.7886,4.2,3750.38,Compound,None,,,,6,1.7148 .. 1.6698,12.88,3644.3836
7,0.84,13.1271,1.95,460.15,Compound,None,,,,7,0.8491 .. 0.8417,1,365.6363,,7,0.85,17.2167,2.12,654.2,Compound,None,,,,7,0.8491 .. 0.8417,0.94,495.0864,,7,0.84,15.2056,1.96,536.08,Compound,None,,,,7,0.8491 .. 0.8417,0.94,426.8181,,7,0.84,11.2093,2,403.2,Compound,None,,,,7,0.8491 .. 0.8417,0.98,313.9094,,7,0.84,9.7466,1.94,339.77,Compound,None,,,,7,0.8491 .. 0.8417,0.96,272.731
conc (um),9.5625,time(s),0.75,irrad (t/f),TRUE,,,,,,,,,,conc (um),13.5,time(s),0.75,irrad (t/f),TRUE,,,,,,,,,,conc (um),11.25,time(s),0.75,irrad (t/f),TRUE,,,,,,,,,,conc (um),8.128,time(s),0.75,irrad (t/f),TRUE,,,,,,,,,,conc (um),6.9,time(s),0.75,irrad (t/f),TRUE,,,,,,,,
,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,,Range,Normalized,Absolute,,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,,Range,Normalized,Absolute,,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,,Range,Normalized,Absolute,,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,,Range,Normalized,Absolute,,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,,Range,Normalized,Absolute
1,4.21,1.9268,1.75,60.53,Compound,None,,,,1,4.3199 .. 4.1667,2.13,906.4842,,1,4.21,2.4402,24.21,1060.71,Compound,None,,,,1,4.3199 .. 4.1667,2.14,1135.3657,,1,4.2,2.0742,16.89,628.84,Compound,None,,,,1,4.3199 .. 4.1667,2.06,960.8723,,1,4.21,1.6965,12.77,389.07,Compound,None,,,,1,4.3199 .. 4.1667,2.14,794.9156,,1,4.21,1.5306,23.9,656.65,Compound,None,,,,1,4.3199 .. 4.1667,2.83,713.8587
2,4.13,1.7761,23.29,742.52,Compound,None,,,,2,4.1667 .. 4.0025,1.94,822.969,,2,4.13,2.246,32.86,1324.96,Compound,None,,,,2,4.1667 .. 4.0025,1.81,962.6342,,2,4.13,1.8902,22.72,770.89,Compound,None,,,,2,4.1667 .. 4.0025,1.71,800.8038,,2,4.14,1.4974,12.42,334,Compound,None,,,,2,4.1667 .. 4.0025,1.93,717.2082,,2,4.12,1.4033,23.06,580.98,Compound,None,,,,2,4.1667 .. 4.0025,2.7,682.138
3,3.51,8.4151,26.9,4063.84,Compound,None,,,,3,3.5985 .. 3.4369,8.16,3471.0597,,3,3.51,10.5551,27.12,5139.13,Compound,None,,,,3,3.5985 .. 3.4369,8.35,4429.4259,,3,3.51,9.4178,26.96,4558.3,Compound,None,,,,3,3.5985 .. 3.4369,8.26,3860.1858,,3,3.51,7.3866,26.92,3570.26,Compound,None,,,,3,3.5985 .. 3.4369,8.06,2993.7703,,3,3.51,6.6449,26.9,3208.89,Compound,None,,,,3,3.5985 .. 3.4369,10.95,2762.5545
4,3.19,10.1718,27.17,4960.9,Compound,None,,,,4,3.2205 .. 3.1641,6.94,2950.9254,,4,3.19,12.6468,28.42,6453.78,Compound,None,,,,4,3.2205 .. 3.1641,7.05,3742.9477,,4,3.19,11.3073,27.49,5581.26,Compound,None,,,,4,3.2205 .. 3.1641,7.07,3305.5953,,4,3.19,8.9901,26.51,4279.17,Compound,None,,,,4,3.2205 .. 3.1641,6.97,2588.3074,,4,3.19,8.0662,26.18,3791.95,Compound,None,,,,4,3.2205 .. 3.1641,9.15,2308.2431
5,3.01,4.5571,31.91,2610.73,Compound,None,,,,5,3.0701 .. 2.9498,4.96,2109.8843,,5,3.01,5.5874,31.37,3147.3,Compound,None,,,,5,3.0701 .. 2.9498,4.83,2565.1164,,5,3.01,4.9977,31.63,2837.71,Compound,None,,,,5,3.0701 .. 2.9498,4.93,2301.8645,,5,3.01,4.0527,31.7,2306.62,Compound,None,,,,5,3.0701 .. 2.9498,5.02,1864.8818,,5,3.01,3.6656,31.61,2080.18,Compound,None,,,,5,3.0701 .. 2.9498,6.66,1680.7532
6,1.69,53.0514,4.18,3978.58,Compound,None,,,,6,1.7148 .. 1.6698,9.05,3849.1031,,6,1.69,66.7231,4.48,5365.95,Compound,None,,,,6,1.7148 .. 1.6698,9.93,5271.1585,,6,1.69,60.3994,4.38,4749.25,Compound,None,,,,6,1.7148 .. 1.6698,10.1,4720.391,,6,1.69,46.8046,4.16,3498.24,Compound,None,,,,6,1.7148 .. 1.6698,9.08,3373.1305,,6,1.69,41.8429,4.05,3043.09,Compound,None,,,,6,1.7148 .. 1.6698,11.69,2951.0015
7,0.84,12.2878,1.96,432.93,Compound,None,,,,7,0.8491 .. 0.8417,0.81,343.8168,,7,0.85,16.2494,2.07,604.21,Compound,None,,,,7,0.8491 .. 0.8417,0.88,464.7975,,7,0.84,14.2647,1.97,504.73,Compound,None,,,,7,0.8491 .. 0.8417,0.86,403.7427,,7,0.84,10.4977,2,377.53,Compound,None,,,,7,0.8491 .. 0.8417,0.79,294.1665,,7,0.84,9.2244,1.95,322.61,Compound,None,,,,7,0.8491 .. 0.8417,1.02,257.9078
conc (um),9.5625,time(s),0.75,irrad (t/f),FALSE,,,,,,,,,,conc (um),13.5,time(s),0.75,irrad (t/f),FALSE,,,,,,,,,,conc (um),11.25,time(s),0.75,irrad (t/f),FALSE,,,,,,,,,,conc (um),8.128,time(s),0.75,irrad (t/f),FALSE,,,,,,,,,,conc (um),6.9,time(s),0.75,irrad (t/f),FALSE,,,,,,,,
,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,,Range,Normalized,Absolute,,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,,Range,Normalized,Absolute,,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,,Range,Normalized,Absolute,,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,,Range,Normalized,Absolute,,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,,Range,Normalized,Absolute
1,4.21,2.2241,1.75,69.87,Compound,None,,,,1,4.3199 .. 4.1667,2.92,1072.6469,,1,4.21,3.0266,28.52,1549.59,Compound,None,,,,1,4.3199 .. 4.1667,3.03,1625.6295,,1,4.2,2.6286,16.89,796.88,Compound,None,,,,1,4.3199 .. 4.1667,3.29,1397.0495,,1,4.21,1.9603,1.49,52.35,Compound,None,,,,1,4.3199 .. 4.1667,3,949.8995,,1,4.21,1.7335,1.49,46.29,Compound,None,,,,1,4.3199 .. 4.1667,2.96,842.1743
2,4.13,2.0308,23.83,868.7,Compound,None,,,,2,4.1667 .. 4.0025,2.6,955.1316,,2,4.13,2.7899,21.17,1060.54,Compound,None,,,,2,4.1667 .. 4.0025,2.72,1459.2081,,2,4.13,2.388,28.13,1205.86,Compound,None,,,,2,4.1667 .. 4.0025,2.92,1238.7158,,2,4.13,1.7656,1.4,44.37,Compound,None,,,,2,4.1667 .. 4.0025,2.68,847.3393,,2,4.12,1.616,23.75,688.98,Compound,None,,,,2,4.1667 .. 4.0025,2.76,785.5071
